,title,ingredients,directions,link,source,NER
2009310,Texas Sheet Cake,"[""2 cups (475 ml) sugar"", ""2 cups (475 ml) flour"", ""1/2 tsp (2 ml) salt"", ""1 cup (225 ml) melted butter"", ""1 cup (225 ml) boiling water"", ""4 Tbsp (60 ml) cocoa"", ""2 eggs"", ""1/2 cup (125 ml) buttermilk"", ""1 tsp (5 ml) vinegar"", ""1 tsp (5 ml) soda"", ""1/2 cup (125 ml) butter"", ""4 Tbsp (60 ml) cocoa"", ""6 Tbsp (90 ml) milk"", ""1 lb (.5 kg). powdered sugar"", ""1 tsp (5 ml) vanilla"", ""1/2 cup (125 ml) chopped pecans""]","[""Melt the butter."", ""Combine boiling water, melted butter and cocoa in large mixing bowl."", ""Add the sugar, flour and salt."", ""In another bowl beat together the eggs, buttermilk, vinegar and soda."", ""Add to the first mixture and blend well."", ""Pour into sheet cake pan."", ""Bake at 350 degrees (175 C.) until top springs back when touched."", ""Bring to a boil the butter, cocoa and milk."", ""Remove from the heat."", ""Add the powdered sugar and vanilla."", ""Beat until smooth."", ""Pour onto the cake while still hot."", ""Sprinkle the chopped nuts evenly over the iced cake.""]",online-cookbook.com/goto/cook/rpage/000307,Recipes1M,"[""sugar"", ""flour"", ""salt"", ""butter"", ""boiling water"", ""cocoa"", ""eggs"", ""buttermilk"", ""vinegar"", ""soda"", ""butter"", ""cocoa"", ""milk"", ""powdered sugar"", ""vanilla"", ""pecans""]"
2011908,Heath Bar Coffee Cake Recipe,"[""2 c. brown sugar"", ""2 c. flour"", ""1/2 teaspoon salt"", ""1/2 c. butter"", ""1 egg"", ""1 c. buttermilk"", ""1 teaspoon soda"", ""1 teaspoon vanilla"", ""12 sm. Heath candy bars, crushed"", ""1 c. nuts, minced""]","[""Mix sugar, flour, salt together."", ""Cut in butter.r Reserve 1 c. for topping."", ""After reserving the 1 c., add in egg."", ""Dissolve soda in buttermilk and add in to mix."", ""Add in vanilla."", ""Beat well."", ""Pour into an 8 x 12 greased pan."", ""Top with reserved mix; then 12 small crushed Heath candy bars, plus 1 c. minced nuts."", ""Bake at 350 degrees for 35 min.""]",cookeatshare.com/recipes/heath-bar-coffee-cake-27536,Recipes1M,"[""brown sugar"", ""flour"", ""salt"", ""butter"", ""egg"", ""buttermilk"", ""soda"", ""vanilla"", ""nuts""]"
2015308,Cranberry Pumpkin Bread,"[""12 cup all purpose flour, plus 2 tbl"", ""12 cup sugar"", ""12 teaspoon baking soda"", ""14 teaspoon salt"", ""14 teaspoon ground cinnamon"", ""14 teaspoon ground nutmeg"", ""12 cup canned pumpkin"", ""14 cup canola oil"", ""1 egg, lightly beaten"", ""3 tablespoons 1% buttermilk"", ""14 teaspoon butter flavoring"", ""14 teaspoon vanilla extract"", ""14 cup dried cranberries""]","[""In a large bowl, combine the flour, sugar, baking soda, salt, cinnamon and nutmeg."", ""Combine the pumpkin, oil, egg, buttermilk, butter flavoring and vanilla; stir into dry ingredients just until moistened."", ""Fold in the cranberries."", ""Transfer to three 4-1/2\"" x 2-1/2\"" x 1-1/2\""-inch loaf pans coated with nonstick cooking spray."", ""Bake at 350 for 25-30 minutes or until a toothpick inserted near the center comes out clean."", ""Cool for 10 minutes before removing from pans to wire racks to cool completely.""]",www.food.com/recipe/cranberry-pumpkin-bread-442534,Recipes1M,"[""flour"", ""sugar"", ""baking soda"", ""salt"", ""ground cinnamon"", ""ground nutmeg"", ""pumpkin"", ""canola oil"", ""egg"", ""buttermilk"", ""butter"", ""vanilla"", ""cranberries""]"
2016502,Cranberry Orange Scone,"[""1 cup whole wheat flour"", ""1 cup all-purpose flour"", ""12 cup sugar"", ""1 tablespoon baking powder"", ""14 teaspoon baking soda"", ""14 teaspoon salt"", ""1 orange, zest of"", ""12 cup cranberries"", ""14 cup butter (I used 2 tbsp smart balance spread)"", ""1 egg"", ""12 cup buttermilk (I used part skim ricotta)"", ""12 teaspoon vanilla"", ""cinnamon-sugar mixture, to sprinkle""]","[""Mix first 8 ingredients in a large bowl."", ""Add butter and crumble mixture with hands."", ""In a separate bowl wisk egg with buttermilk, add vanilla."", ""Add batter to flour mixture and make a soft dough."", ""Roll a circle about 1/2 to 1/3 inch thick and sprinkle it with cinnamon and sugar."", ""Cut to 8 wedges (I made 16 small) and bake in preheated oven at 400F for 20-25 mintues (or until brown).""]",www.food.com/recipe/cranberry-orange-scone-366383,Recipes1M,"[""whole wheat flour"", ""flour"", ""sugar"", ""baking powder"", ""baking soda"", ""salt"", ""orange"", ""cranberries"", ""butter"", ""egg"", ""buttermilk"", ""vanilla"", ""cinnamon-sugar""]"
2016536,Blueberry Buttermilk Pancakes,"[""1 cup all-purpose flour"", ""2 tablespoons sugar"", ""1 12 teaspoons baking powder"", ""12 teaspoon baking soda"", ""12 teaspoon salt"", ""1 large egg"", ""1 cup buttermilk"", ""1 teaspoon vanilla extract"", ""2 tablespoons butter, melted"", ""1 12 cups fresh blueberries (or thawed frozen)"", ""2 teaspoons vegetable oil""]","[""Mix flour, sugar, baking powder, baking soda, and salt in mixing bowl."", ""Whisk egg, buttermilk, and vanilla together in small bowl."", ""Add buttermilk mixture and butter to flour mxiture and stir just until blended."", ""Stir in blueberries."", ""Heat oil on griddle over mediium-high heat."", ""Spoon 1/3 cup batter onto griddle for each pancake."", ""Cook until top is full of bubbles; flip and cook until second side is golden brown."", ""Serve hot.""]",www.food.com/recipe/blueberry-buttermilk-pancakes-309684,Recipes1M,"[""flour"", ""sugar"", ""baking powder"", ""baking soda"", ""salt"", ""egg"", ""buttermilk"", ""vanilla"", ""butter"", ""fresh blueberries"", ""vegetable oil""]"
2016548,Rhubarb Crumb Muffins,"[""2 12 cups flour"", ""1 teaspoon baking soda"", ""12 teaspoon salt"", ""1 14 cups packed light brown sugar"", ""1 egg"", ""12 cup melted butter"", ""1 cup buttermilk"", ""1 teaspoon vanilla"", ""2 cups chopped rhubarb"", ""2 tablespoons melted butter"", ""12 cup packed brown sugar"", ""12 teaspoon cinnamon""]","[""Preheat oven to 350."", ""Line muffin try w/ muffin liners or grease the cups instead."", ""In a medium bowl combine flour, baking soda, salt and sugar."", ""In another bowl, beat the egg, stir in butter, buttermilk and vanilla."", ""Make a well in the dry ingredients, and add the wet mixture all at once."", ""Stir until just blended; stir in the chopped rhubarb."", ""Spoon into greased or paper lined muffin tins."", ""Topping:."", ""For the topping: Combine the 2 tbsp melted butter, brown sugar and cinnamon."", ""Sprinkle a spoonful of topping over each muffin."", ""Bake at 350 degrees for 20 to 25 minutes or until toothpick tests them done.""]",www.food.com/recipe/rhubarb-crumb-muffins-172161,Recipes1M,"[""flour"", ""baking soda"", ""salt"", ""brown sugar"", ""egg"", ""butter"", ""buttermilk"", ""vanilla"", ""rhubarb"", ""butter"", ""brown sugar"", ""cinnamon""]"
2038162,Almond Berry Muffins,"[""1 14 cups sliced almonds, divided"", ""1 egg white, lightly beaten"", ""1 12 cups sugar, divided"", ""14 cup shortening"", ""14 cup butter, softened"", ""2 eggs"", ""1 teaspoon vanilla extract"", ""12 teaspoon almond extract"", ""2 cups all-purpose flour"", ""1 teaspoon baking powder"", ""12 teaspoon salt"", ""14 teaspoon baking soda"", ""34 cup buttermilk"", ""1 14 cups fresh strawberries, chopped""]","[""In a bowl, combine 1 cup almonds and egg white."", ""Add 1/2 cup sugar; toss to coat."", ""Spoon into a greased 15-in."", ""x 10-in."", ""x 1-in."", ""baking pan."", ""Bake at 350 for 9-11 minutes or until golden brown, stirring occasionally."", ""In a large mixing bowl, cream shortening, butter and remaining sugar until light and fluffy."", ""Add eggs, one at a time, beating well after each addition."", ""Beat in extracts."", ""Combine the flour, baking powder, salt and baking soda; add to the creamed mixture alternately with buttermilk."", ""Fold in the strawberries and remaining almonds."", ""Fill greased or paper-lined muffin cups two-thirds full."", ""Sprinkle with sugared almonds."", ""Bake at 350 for 20-25 minutes or until a toothpick comes out clean."", ""Cool for 5 minutes before removing from pans to wire racks.""]",www.food.com/recipe/almond-berry-muffins-206856,Recipes1M,"[""almonds"", ""egg"", ""sugar"", ""shortening"", ""butter"", ""eggs"", ""vanilla"", ""almond"", ""flour"", ""baking powder"", ""salt"", ""baking soda"", ""buttermilk"", ""fresh strawberries""]"
2040794,Orange Pumpkin Muffins,"[""23 cup all-purpose flour"", ""12 cup icing sugar"", ""12 teaspoon baking powder"", ""14 cup butter, melted"", ""14 teaspoon pure vanilla extract"", ""14 cup pumpkin seeds, raw"", ""12 cup pumpkin seeds, raw"", ""3 cups all-purpose flour"", ""34 cup granulated sugar"", ""1 tablespoon baking powder"", ""1 teaspoon baking soda"", ""12 teaspoon salt"", ""1 teaspoon cinnamon"", ""14 teaspoon nutmeg, ground"", ""14 teaspoon allspice, ground"", ""1 orange"", ""1 egg"", ""1 cup pumpkin puree, canned"", ""1 cup buttermilk"", ""1 teaspoon vanilla extract"", ""12 cup butter, melted""]","[""For the streusel: stir flour with icing sugar and baking powder."", ""Add melted butter and vanilla & mix lightly with a fork until moist crumbs form."", ""Set aside with 1/4 cup of pumpkin seeds."", ""For the muffins: preheat oven to 375F Spread 1/4 cup of pumpkin seeds on a cookie sheet & toast 5 to 7 minutes - until a few begin to brown & they smell good - watch them closely."", ""Cool them off the cookie sheet."", ""Grease a 12 muffin tin, including the top (make big muffin topps release easily too)."", ""Sift dry ingredients into a large bowl."", ""In a second bowl, grate the zest of the orange."", ""Squeeze 1/4 cup orange juice in with the zest."", ""add the egg & beat lightly."", ""Stir in pumpkin puree, buttermilk, juice, vanilla and butter."", ""Fold wet pumpkin mixture into flour until mostly moistened."", ""Then stir in toasted pumpkin seeds until well mixed; divide batter among cups, heaping slightly in centre (batter completely fills cups)."", ""Sprinkle with raw pumpkin seeds; then top liberally with streusel crumbs."", ""Press seeds and crumbs gently into muffin tops."", ""Bake in center of preheated oven for 25 to 28 minutes or until a toothpick inserted into muffin centre comes out clean and tops are lightly golden."", ""Rest on cooling rack for 5 minutes; then lift each muffin out of pan onto rack."", ""Cool completely; to serve, lightly sieve a spoonful of confectioner's sugar over muffin tops, if desired.""]",www.food.com/recipe/orange-pumpkin-muffins-308524,Recipes1M,"[""flour"", ""icing sugar"", ""baking powder"", ""butter"", ""vanilla"", ""pumpkin seeds"", ""pumpkin seeds"", ""all-purpose"", ""sugar"", ""baking powder"", ""baking soda"", ""salt"", ""cinnamon"", ""nutmeg"", ""allspice"", ""orange"", ""egg"", ""pumpkin puree"", ""buttermilk"", ""vanilla"", ""butter""]"
2042843,Chocolate Chip Scones Recipe,"[""2 c. unsifted flour"", ""3 tbsp. sugar"", ""1/4 teaspoon salt"", ""2 teaspoon baking pwdr"", ""1/2 c. butter"", ""1/2 c. buttermilk or possibly lowfat milk"", ""1 lg. egg"", ""1 teaspoon vanilla"", ""1/2 c. semi-sweet chocolate chips""]","[""Heat oven to 425 degrees."", ""Grease baking sheet."", ""In large bowl combine dry ingredients."", ""Cut in butter with pastry blender till mix resembles coarse crumbs."", ""In small bowl combine lowfat milk, egg and vanilla."", ""Add in to dry ingredients along with chocolate chips and mix with fork till mix clings together and forms a soft dough."", ""Turn dough onto floured surface and knead gently 5-6 times."", ""With lightly floured rolling pin, roll dough into a 7-inch circle."", ""Cut as many as you want into triangle or possibly diamond shapes, or possibly just cut into 4 wedges."", ""Bake for 18-20 min till golden."", ""Serve hot.""]",cookeatshare.com/recipes/chocolate-chip-scones-43191,Recipes1M,"[""flour"", ""sugar"", ""salt"", ""baking pwdr"", ""butter"", ""buttermilk"", ""egg"", ""vanilla"", ""semi-sweet chocolate chips""]"
2043123,Chocolate Cinnamon Doughnuts,"[""2/3 cup sugar"", ""1 egg, beaten"", ""2 tbsp. butter, softened"", ""1/2 tsp. vanilla"", ""2 cups flour"", ""3 tbsp. unsweetened cocoa powder"", ""2 tsp. baking powder"", ""1/8 tsp. baking soda"", ""1/2 tsp. cinnamon"", ""1/2 tsp. salt"", ""1/3 cup buttermilk"", ""1 cup powdered sugar, sifted"", ""1 tbsp. unsweetened cocoa powder"", ""1/2 tbsp. butter, softened"", ""1-1/2 tbsp. boiling water""]","[""Prepare the Cocoa Glaze by combining all the ingredients and stirring until smooth."", ""Set aside."", ""Gradually beat the sugar into the egg using a large bowl."", ""Beat until thick and lemony."", ""Stir in the softened butter and the vanilla."", ""Combine the flour, cocoa powder, baking powder, baking soda, cinnamon and salt in another bowl."", ""Stir into the egg mixture, alternating with the buttermilk."", ""Chill about 2 hours."", ""The dough should still be slightly sticky."", ""Preheat the oil in the deep fryer."", ""Roll out the dough in batches to a thickness of 1/2-inch on a lightly floured board."", ""Keep the remaining dough chilled."", ""Cut using a floured doughnut cutter."", ""Repeat until all the doughnuts have been cut out."", ""Deep fry for about 2 minutes."", ""Drain."", ""Dip the tops of the still warm doughnuts in the Cocoa Glaze.""]",www.foodgeeks.com/recipes/1749,Recipes1M,"[""sugar"", ""egg"", ""butter"", ""vanilla"", ""flour"", ""cocoa"", ""baking powder"", ""baking soda"", ""cinnamon"", ""salt"", ""buttermilk"", ""powdered sugar"", ""cocoa"", ""butter"", ""boiling water""]"
2047200,Cranberry Scones Recipe,"[""2 cups flour"", ""1/4 cup sugar"", ""2 tsp baking powder"", ""1/4 tsp baking soda"", ""1/2 tsp salt"", ""1/3 cup butter, chilled"", ""1 egg"", ""2/3 cup buttermilk"", ""1/2 cup dried cranberries"", ""1 tsp orange rind, finely grated"", ""Butter-Vanilla Glaze:"", ""1 1/2 cups powdered sugar, sifted"", ""2 T. butter, melted"", ""2 T. milk"", ""1 tsp. vanilla""]","[""Preheat oven to 400 degrees"", ""In large mixing bowl sift together flour, sugar, powder, soda and salt"", ""Using a pastry blender cut in butter until mixture is the size of course crumbs"", ""."", ""Add dried cranberries and orange rind and toss to coat.Make a well in the center and set aside."", ""In small bowl blend egg and buttermilk, add all at once to the flour mixture."", ""Mix just until moistened"", ""Turn dough onto floured work surface and knead 10-12 times"", ""Place dough onto a greased cookie sheet."", ""Flatten dough into an 8 \"" ; circle"", ""Frequently dipping knife into flour, cut dough into 8 wedges"", ""Separate wedges by 1\"";."", ""Bake 20-25 minutes"", ""Place baked scones on a cooling rack"", ""Let cool 5 minutes."", ""Brush scones with glaze if desired"", ""To Make Glaze:"", ""Just mix together all ingredients for glazing"", ""and spread on scones after they cool.""]",cookeatshare.com/recipes/cranberry-scones-32,Recipes1M,"[""flour"", ""sugar"", ""baking powder"", ""baking soda"", ""salt"", ""butter"", ""egg"", ""buttermilk"", ""cranberries"", ""orange rind"", ""Butter"", ""powdered sugar"", ""butter"", ""milk"", ""vanilla""]"
2054848,Fabulous Fruit Pizza,"[""2 12 cups sugar, divided"", ""12 cup butter"", ""1 egg"", ""1 teaspoon vanilla extract, divided"", ""1 teaspoon baking powder"", ""12 teaspoon baking soda"", ""6 tablespoons buttermilk"", ""3 -4 cups flour"", ""3 tablespoons cornstarch"", ""18 teaspoon salt"", ""34 cup water"", ""1 cup orange juice"", ""14 cup lemon juice"", ""8 ounces cream cheese"", ""5 -6 kiwi, peeled and sliced"", ""2 -3 bananas, sliced"", ""1 pint strawberry, sliced"", ""11 ounces mandarin oranges, drained"", ""12 cup blueberries""]","[""Cream one cup sugar and butter until smooth."", ""Add egg, 1/2 teaspoon vanilla and baking powder; continue beating."", ""In a separate bowl, combine soda and buttermilk; add to creamed mixture."", ""Stir in flour until soft dough forms, adding enough so that the dough is not sticky."", ""Divide dough in half."", ""Wrap one half in plastic zipping bag and freeze for future use."", ""Roll remaining half into a greased 12\"" pizza pan."", ""Bake at 400 degrees for 10 minutes, or until top becomes slightly browned; cool."", ""In small saucepan, combine one cup sugar, cornstarch and salt."", ""Add water, orange juice and lemon juice."", ""Cook and stir on medium heat until mixture becomes thick and bubbly."", ""Remove from heat."", ""Cool to room temperature."", ""Mix cream cheese with 1/2 cup sugar."", ""Add remaining vanilla."", ""Spread mixture on crust."", ""Arrange fruit on crust in circles, beginning with kiwi fruit on outside edge and overlapping fruit."", ""Continue circling with bananas, strawberries and oranges finishing with a small circle of strawberries and bananas."", ""Randomly place blueberries on top of other fruits."", ""Carefully spoon sauce over top of fruit."", ""Cut into 8 large pieces; serve.""]",www.food.com/recipe/fabulous-fruit-pizza-513084,Recipes1M,"[""sugar"", ""butter"", ""egg"", ""vanilla"", ""baking powder"", ""baking soda"", ""buttermilk"", ""flour"", ""cornstarch"", ""salt"", ""water"", ""orange juice"", ""lemon juice"", ""cream cheese"", ""kiwi"", ""bananas"", ""strawberry"", ""oranges"", ""blueberries""]"
2057566,Rhubarb Cake,"[""2 tablespoons butter, softened"", ""1 egg"", ""34 cup sugar"", ""2 cups all-purpose flour"", ""1 teaspoon baking powder"", ""12 teaspoon baking soda"", ""12 teaspoon salt"", ""1 cup buttermilk"", ""2 cups chopped rhubarb (fresh or thawed if frozen)"", ""14 cup all-purpose flour"", ""14 cup sugar"", ""2 tablespoons melted butter""]","[""In a mixing bowl, cream butter and sugar."", ""beat in egg."", ""Combine flour, baking powder, baking soda, and salt."", ""Add to creamed mixture alternately with buttermilk, beating just until moistened."", ""Fold in the rhubarb."", ""Pour into greased 9-inch square baking dish."", ""Combine topping ingredients and sprinkle over batter."", ""Bake at 350 degrees F for 40-45 minutes or until a toothpick comes out clean."", ""Cool on a wire rack."", ""Serve with vanilla sauce.""]",www.food.com/recipe/rhubarb-cake-212144,Recipes1M,"[""butter"", ""egg"", ""sugar"", ""flour"", ""baking powder"", ""baking soda"", ""salt"", ""buttermilk"", ""rhubarb"", ""flour"", ""sugar"", ""butter""]"
2064177,Swirled Chocolate Bundt Cake,"[""1 14 cups all-purpose flour"", ""34 cup buckwheat flour"", ""1 12 cups sugar"", ""23 cup unsweetened cocoa powder"", ""14 cup butter, melted"", ""3 large eggs"", ""1 tablespoon baking powder"", ""1 teaspoon vanilla extract"", ""1 cup buttermilk"", ""14 cup sugar"", ""1 (250 g) package cream cheese (I use low fat)"", ""1 large egg"", ""1 teaspoon vanilla extract"", ""1 cup rhubarb, finely diced"", ""12 fresh cherries, pits removed and cut in eight pieces each"", ""6 teaspoons honey"", ""3 tablespoons unsweetened coconut, finely grated (should not be stringy)"", ""4 cups icing sugar"", ""14 cup unsweetened cocoa powder"", ""14 cup cream cheese"", ""14 cup butter, melted"", ""14 cup milk"", ""12-1 teaspoon unsweetened cocoa""]","[""Make the fruit filling by cooking the rhubarb, cherries, and honey over medium to low heat stirring as required to prevent burning until the cherries are done and the rhubarb is completely smooth (ie no obvious chunks of rhubarb) and thickened (about 5-10 minutes)."", ""Cool the filling then stir in the coconut."", ""Preheat the oven to 350F."", ""Throughly spray a 10 inch bundt pan with nonstick cooking spray."", ""Make the cream cheese filling by beating the sugar, cream cheese, egg and vanilla with an electric mixer until well combined."", ""To make the cake batter, mix the all purpose flour, buckwheat flour, sugar, and baking powder in a large bowl."", ""Sift the cocoa into the bowl with the flour mixture and combine well (this gets rid of lumps)."", ""Add the butter, eggs, vanilla and buttermilk and mix with an electric mixer until smooth and a slightly lighter colour (about 4-5 minutes)."", ""Spread about half of the cake batter evenly in the bottom of the bundt pan."", ""Spoon half of the cream cheese filling into the bundt pan staying to the center of the chocolate mixture (avoid touching the sides of the pan)."", ""Spoon the fruit filling in the center of the cream filling all the way around the pan."", ""Top the fruit filling with the remainder of the cream filling."", ""Cover the cream filling with the remaining cake batter and smooth out the top."", ""Bake in a 350F oven for about 50-60 minutes or until it just starts to pull away from the side of the pan and a toothpick inserted into the cake comes out clean."", ""Let the cake rest for a few minutes then turn onto cake plate and cover with a clean tea towel, allow to cool completely."", ""Make the icing by sifting the cocoa and icing sugar together, then add the cream cheese, milk and butter."", ""Mix with an electric mixer until smooth and slightly fluffy."", ""Frost the cooled cake with the icing."", ""Place about 1/2 teaspoon unsweetened cocoa in a sifter or strainer and lightly\""dust\"" the top of the cake.""]",www.food.com/recipe/swirled-chocolate-bundt-cake-93394,Recipes1M,"[""flour"", ""buckwheat flour"", ""sugar"", ""cocoa"", ""butter"", ""eggs"", ""baking powder"", ""vanilla"", ""buttermilk"", ""sugar"", ""cream cheese"", ""egg"", ""vanilla"", ""rhubarb"", ""fresh cherries"", ""honey"", ""unsweetened coconut"", ""icing sugar"", ""cocoa"", ""cream cheese"", ""butter"", ""milk"", ""cocoa""]"
2075274,Vicki's Rhubarb Cake,"[""1 12 cups diced rhubarb"", ""12 cup sugar"", ""2 cups flour"", ""1 12 cups sugar"", ""12 cup oil"", ""1 egg"", ""1 cup buttermilk"", ""1 teaspoon baking soda"", ""1 teaspoon cinnamon"", ""1 teaspoon vanilla"", ""6 tablespoons butter"", ""1 cup coconut"", ""23 cup brown sugar"", ""14 cup milk"", ""1 cup chopped nuts""]","[""Mix rhubarb and 1/2 cup sugar and set aside."", ""Mix flour, 1-1/2 cups sugar, oil, egg, buttermilk, baking soda, cinnamon and vanilla."", ""Add to rhubarb mixture."", ""Pour batter into a greased and floured 9x13 pan."", ""Bake at 350 degrees Fahrenheit for 1 hour."", ""Combine butter, coconut, brown sugar, milk, and chopped nuts in a pan cook for 3 minutes."", ""Pour over cake while warm.""]",www.food.com/recipe/vickis-rhubarb-cake-141330,Recipes1M,"[""rhubarb"", ""sugar"", ""flour"", ""sugar"", ""oil"", ""egg"", ""buttermilk"", ""baking soda"", ""cinnamon"", ""vanilla"", ""butter"", ""coconut"", ""brown sugar"", ""milk"", ""nuts""]"
2080375,Toffee Coffee Cake,"[""12 cup butter"", ""2 cups all-purpose flour (sifted with salt and baking soda)"", ""1 cup firmly packed brown sugar"", ""1 cup sugar"", ""1 teaspoon baking soda"", ""12 teaspoon salt"", ""1 cup buttermilk (not lowfat)"", ""1 egg"", ""12 teaspoon vanilla"", ""1 bag toffee pieces"", ""12 cup pecan pieces""]","[""Soften butter and cut into chunks- set aside In a large bowl mix together Brown sugar and sugar Add- flour, salt and baking soda Remove 1/2 Cup and reserve for topping To sugar mixture Cut in butter Add egg, vanilla and buttermilk."", ""Mix with spoon and then mixer."", ""Pour into geased 9x13 cake pan."", ""To reserved mixture add toffee bits and pecans."", ""Mix and pour over batter."", ""Bake in 350 degree oven for 45 minutes.""]",www.food.com/recipe/toffee-coffee-cake-78398,Recipes1M,"[""butter"", ""flour"", ""brown sugar"", ""sugar"", ""baking soda"", ""salt"", ""buttermilk"", ""egg"", ""vanilla"", ""toffee"", ""pecan""]"
2091225,Health Toffee Bar Coffee Cake Recipe,"[""2 c. flour"", ""1 c. buttermilk"", ""1/2 pecans, minced"", ""1 c. Health toffee bars, minced"", ""1 c. brown sugar"", ""1/2 c. butter"", ""1 teaspoon soda"", ""1/2 c. sugar"", ""1 egg"", ""1 teaspoon vanilla""]","[""Blend butter, sugars and flour; set aside 1/2 c. of this mix."", ""To the remainder of this mix add in buttermilk, soda, egg, vanilla, pecans and minced Health bars."", ""Blend well and pour in greased and floured 9 x 12 inch cake pan."", ""Add in remaining 1/2 c. of mix, 1/2 c. Health bars and pecans; sprinkle over top and bake for 30 min at 350 degrees.""]",cookeatshare.com/recipes/health-toffee-bar-coffee-cake-18089,Recipes1M,"[""flour"", ""buttermilk"", ""pecans"", ""Health toffee"", ""brown sugar"", ""butter"", ""soda"", ""sugar"", ""egg"", ""vanilla""]"
2093217,Red Velvet Whoopie Pies,"[""Cooking spray"", ""4 ounces soft butter"", ""2 cups sugar"", ""1 egg"", ""1 cup buttermilk, room temperature"", ""1 1/2 teaspoons vanilla extract"", ""1/2 teaspoon vinegar"", ""1 tablespoon red food coloring"", ""3 1/2 cups all-purpose flour"", ""2 teaspoons cocoa powder"", ""1 1/2 teaspoons baking soda"", ""1 tablespoon baking powder"", ""1/2 teaspoon salt"", ""Cream Cheese Filling"", ""1 pound soft cream cheese, room temperature"", ""3 tablespoons soft butter, room temperature"", ""1 teaspoon vanilla"", ""1 teaspoon lemon juice"", ""8 ounces confectioners' sugar, sifted"", ""Special Equipment: parchment paper, stand mixer""]","[""Preheat the oven to 375 degrees F."", ""Take the buttermilk out of the refrigerator about 2 hours before preparing the batter."", ""Line a cookie sheet with parchment paper and spray with cooking spray."", ""In a standing mixer, cream the butter and the sugar with the paddle attachment."", ""Add the egg and once it is incorporated with the butter add the buttermilk."", ""The mixture will look curdled."", ""Add the vanilla, vinegar and food coloring."", ""In a medium bowl combine all of the dry ingredients together."", ""Add the dry ingredients to the buttermilk mixture and combine completely, scraping down the sides of the bowl to get everything well mixed."", ""Put the batter in the refrigerator for at least 1 hour."", ""Use a spoon or a small ice cream scoop and scoop the batter onto the cooking sheet, leaving at least a 3-inch space between scoops."", ""Bake until the cookies are springy and firm to the touch, about 10 minutes."", ""Allow the cookies to cool completely before filling."", ""Filling:"", ""Put the cream cheese and butter into the bowl of a standing mixer and using the paddle attachment, beat on medium speed until soft, about 5 minutes."", ""Add the vanilla and lemon juice and beat to combine."", ""Lower the speed to slow and carefully add the sugar, 1 cup at a time."", ""When all of the sugar has been added, switch to the whisk attachment and beat until fluffy."", ""Using a butter knife, spread the desired amount of frosting between 2 cookies."", ""Arrange the completed pies on a serving dish and repeat with remaining cookies and frosting.""]",www.foodnetwork.com/recipes/red-velvet-whoopie-pies.html,Recipes1M,"[""Cooking spray"", ""butter"", ""sugar"", ""egg"", ""buttermilk"", ""vanilla"", ""vinegar"", ""red food coloring"", ""flour"", ""cocoa powder"", ""baking soda"", ""baking powder"", ""salt"", ""Cream Cheese Filling"", ""cream cheese"", ""butter"", ""vanilla"", ""lemon juice"", ""sugar"", ""parchment paper""]"
2102099,Tofu Cranberry Pound Cake With White Chocolate,"[""1 12 cups flour"", ""1 teaspoon baking powder"", ""1 teaspoon baking soda"", ""1 teaspoon cream of tartar"", ""12 teaspoon salt"", ""14 cup butter or 14 cup margarine"", ""3 ounces light cream cheese"", ""13 cup brown sugar, packed"", ""13 cup sugar"", ""1 egg"", ""3 egg whites"", ""4 ounces firm silken tofu, drained"", ""23 cup buttermilk"", ""1 tablespoon grated orange zest"", ""1 teaspoon vanilla"", ""1 12 cups cranberries, halved"", ""34 cup white chocolate, chopped""]","[""Butter a 9\"" pan or bundt pan."", ""Combine flour, baking powder, soda, cream of tartar and salt."", ""In bowl beat butter, cream cheese and sugars."", ""Add eggs and whites one at a time, beat 2 minutes."", ""Whip tofu and milk in blender till smooth."", ""Add to butter mixture alternately with flour, beating only till smooth after each addition."", ""Stir in orange zest, vanilla, cranberries and chocolate."", ""Pour into pan and bake at 350 degrees, 50-60 minutes, till tester comes out clean."", ""Turn out on baking rack to cool.""]",www.food.com/recipe/tofu-cranberry-pound-cake-with-white-chocolate-190881,Recipes1M,"[""flour"", ""baking powder"", ""baking soda"", ""cream of tartar"", ""salt"", ""butter"", ""light cream cheese"", ""brown sugar"", ""sugar"", ""egg"", ""egg whites"", ""silken"", ""buttermilk"", ""orange zest"", ""vanilla"", ""cranberries"", ""white chocolate""]"
